,,,,,,,,,,,
,Treecko,,Learnset,,Grovyle,,Learnset,,Sceptile,,Learnset
,Defense,55,40 - Psychic,,Defense,80,40 - Psychic,,,,
,Special Attack,60(+20),50 - Cross Chop,,Special Attack,125(+65),50 - Cross Chop,,,,
,Special Defense,55,60 - Reversal,,Special Defense,80,60 - Reversal,,,,
,Speed,80(+20),74 - Psycho Boost,,Speed,90(+10),74 - Psycho Boost,,,,
,,,74 - Superpower,,Evolves at level 35.,,74 - Superpower,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Sableye,,Learnset,,,,,,,,
,,,1 - Leer,,,,,,,,
,,,1 - Knock Off,,,,,,,,
,,,5 - Accelerock,,,,,,,,
,,,9 - Night Shade,,,,,,,,
,,,13 - Astonish,,,,,,,,
,ROCK,GHOST,17 - Shadow Sneak,,,,,,,,
,Ability 1,Clear Body,21 - Fake Out,,,,,,,,
,Ability 2,Clear Body,25 - Will-O-Wisp,,,,,,,,
,Base Stats,,29 - Brick Break,,,,,,,,
,HP,90(+40),33 - Rock Slide,,,,,,,,
,Attack,125(+50),37 - Strength,,,,,,,,
,Defense,125(+50),41 - Shadow Ball,,,,,,,,
,Special Attack,25(-40),45 - Recover,,,,,,,,
,Special Defense,55(-10),50 - Shadow Slam,,,,,,,,
,Speed,50,60 - Head Smash,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mawile,,Learnset,,,,,,,,
,,,1 - Astonish,,,,,,,,
,,,6 - Fake Tears,,,,,,,,
,,,11 - Bite,,,,,,,,
,,,16 - Bullet Punch,,,,,,,,
,,,21 - Knock Off,,,,,,,,
,STEEL,DARK,26 - Faint Attack,,,,,,,,
,Ability 1,Huge Power,31 - Flash Cannon,,,,,,,,
,Ability 2,Huge Power,36 - Crunch,,,,,,,,
,Base Stats,,41 - Sucker Punch,,,,,,,,
,HP,80(+30),50 - Meteor Mash,,,,,,,,
,Attack,60(-25),60 - Doom Desire,,,,,,,,
,Defense,110(+25),70 - Night Daze,,,,,,,,
,Special Attack,105(+50),,,,,,,,,
,Special Defense,50(-5),,,,,,,,,
,Speed,65(+15),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Aron,,Learnset,,Lairon,,Learnset,,Aggron,,Learnset
,,,1 - Knock Off,,,,1 - Knock Off,,,,1 - Knock Off
,,,10 - Headbutt,,,,10 - Headbutt,,,,10 - Headbutt
,,,13 - Metal Claw,,,,13 - Metal Claw,,,,13 - Metal Claw
,,,17 - Rock Tomb,,,,17 - Rock Tomb,,,,17 - Rock Tomb
,,,21 - Metal Claw,,,,21 - Metal Claw,,,,21 - Metal Claw
,STEEL,ROCK,25 - Rock Slide,,STEEL,ROCK,25 - Rock Slide,,STEEL,ROCK,25 - Rock Slide
,Ability 1,Rock Head,31 - Protect,,Ability 1,Rock Head,31 - Protect,,Ability 1,Rock Head,31 - Protect
,Ability 2,Battle Armor,37 - Iron Tail,,Ability 2,Battle Armor,37 - Iron Tail,,Ability 2,Battle Armor,37 - Iron Tail
,Base Stats,,44 - Strength,,Base Stats,,44 - Strength,,Base Stats,,44 - Strength
,HP,50,50 - Earthquake,,HP,60,50 - Earthquake,,HP,70,50 - Earthquake
,Attack,70,74 - Head Smash,,Attack,90,74 - Head Smash,,Attack,110,74 - Head Smash
,Defense,100,74 - Superpower,,Defense,140,74 - Superpower,,Defense,180,74 - Superpower
,Special Attack,40,74 - Doom Desire,,Special Attack,50,74 - Doom Desire,,Special Attack,60,74 - Doom Desire
,Special Defense,40,,,Special Defense,50,,,Special Defense,80(+20),
,Speed,30,,,Speed,30,,,Speed,50,
,,,,,Evolves at level 32.,,,,Evolves at level 42.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Electrike,,Learnset,,Manectric,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Leer,,,,1 - Leer,,,,
,,,4 - Thunder Wave,,,,4 - Thunder Wave,,,,
,,,9 - Leer,,,,9 - Leer,,,,
,,,12 - Spark,,,,12 - Spark,,,,
,ELECTRIC,FIRE,17 - Quick Attack,,ELECTRIC,FIRE,17 - Quick Attack,,,,
,Ability 1,Static,20 - Shock Wave,,Ability 1,Intimidate,20 - Shock Wave,,,,
,Ability 2,Static,25 - Flame Wheel,,Ability 2,Intimidate,25 - Flame Wheel,,,,
,Base Stats,,31 - Crunch,,Base Stats,,31 - Crunch,,,,
,HP,40,36 - Flamethrower,,HP,70,36 - Flamethrower,,,,
,Attack,45,42 - Thunderbolt,,Attack,75,42 - Thunderbolt,,,,
,Defense,40,60 - Zap Cannon,,Defense,60,74 - Zap Cannon,,,,
,Special Attack,65,60 - Overheat,,Special Attack,120(+15),74 - Overheat,,,,
,Special Defense,45,74 - Blast Burn,,Special Defense,60,84 - Blast Burn,,,,
,Speed,65,74 - Volt Tackle,,Speed,120(+15),84 - Volt Tackle,,,,
,,,,,Evolves at level 36.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Plusle,,Learnset,,,,,,,,
,,,1 - Thundershock,,,,,,,,
,,,4 - Thunder Wave,,,,,,,,
,,,10 - Quick Attack,,,,,,,,
,,,13 - Helping Hand,,,,,,,,
,,,19 - Spark,,,,,,,,
,ELECTRIC,,22 - Encore,,,,,,,,
,Ability 1,Volt Absorb,28 - Fake Tears,,,,,,,,
,Ability 2,Volt Absorb,31 - Baton Pass,,,,,,,,
,Base Stats,,37 - Thunderbolt,,,,,,,,
,HP,90(+30),40 - Giga Drain,,,,,,,,
,Attack,30(-20),47 -  Recover,,,,,,,,
,Defense,90(+50),60 - Zap Cannon,,,,,,,,
,Special Attack,95(+10),74 - Volt Tackle,,,,,,,,
,Special Defense,95(+20),,,,,,,,,
,Speed,105(+10),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Minun,,Learnset,,,,,,,,
,,,1 - Growl,,,,,,,,
,,,4 - Thundershock,,,,,,,,
,,,10 - Quick Attack,,,,,,,,
,,,13 - Aurora Beam,,,,,,,,
,,,19 - Spark,,,,,,,,
,ELECTRIC,ICE,22 - Encore,,,,,,,,
,Ability 1,Static,28 - Shock Wave,,,,,,,,
,Ability 2,Static,31 - Baton Pass,,,,,,,,
,Base Stats,,37 - Thunderbolt,,,,,,,,
,HP,60,40 - Ice Beam,,,,,,,,
,Attack,80(+40),60 - Zap Cannon,,,,,,,,
,Defense,50,74 - Volt Tackle,,,,,,,,
,Special Attack,130(+55),74 - Sheer Cold,,,,,,,,
,Special Defense,55(-30),,,,,,,,,
,Speed,130(+35),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Illumise,,Learnset,,,,,,,,
,,,1 - Tackle,,,,,,,,
,,,5 - Silver Wind,,,,,,,,
,,,9 - Confusion,,,,,,,,
,,,13 - Moonlight,,,,,,,,
,,,17 - Encore,,,,,,,,
,PSYCHIC,BUG,21 - Psybeam,,,,,,,,
,Ability 1,Serene Grace,25 - Leech Life,,,,,,,,
,Ability 2,Serene Grace,29 - Protect,,,,,,,,
,Base Stats,,33 - Signal Beam,,,,,,,,
,HP,75(+10),37 - Psychic,,,,,,,,
,Attack,107(+60),40 - Luster Purge,,,,,,,,
,Defense,70(-5),44 - Psycho Boost,,,,,,,,
,Special Attack,103(+30),,,,,,,,,
,Special Defense,70(-15),,,,,,,,,
,Speed,105(+20),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Volbeat,,Learnset,,,,,,,,
,,,1 - Tackle,,,,,,,,
,,,5 - Silver Wind,,,,,,,,
,,,9 - Spark,,,,,,,,
,,,13 - Moonlight,,,,,,,,
,,,17 - Encore,,,,,,,,
,ELECTRIC,BUG,21 - Shock Wave,,,,,,,,
,Ability 1,Volt Absorb,25 - Leech Life,,,,,,,,
,Ability 2,Volt Absorb,29 - Protect,,,,,,,,
,Base Stats,,33 - Signal Beam,,,,,,,,
,HP,85(+20),37 - Thunderbolt,,,,,,,,
,Attack,93(+20),40 - Zap Cannon,,,,,,,,
,Defense,85(+10),44 - Earthquake,,,,,,,,
,Special Attack,97(+50),48 - Volt Tackle,,,,,,,,
,Special Defense,85,,,,,,,,,
,Speed,95(+10),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Roselia,,Learnset,,,,,,,,
,,,1 - Absorb,,,,,,,,
,,,5 - Growth,,,,,,,,
,,,9 - Sludge,,,,,,,,
,,,13 - Stun Spore,,,,,,,,
,,,17 - Synthesis,,,,,,,,
,GRASS,POISON,21 - Leech Seed,,,,,,,,
,Ability 1,Poison Point,25 - Magical Leaf,,,,,,,,
,Ability 2,Poison Point,29 - Sludge Bomb,,,,,,,,
,Base Stats,,33 - Giga Drain,,,,,,,,
,HP,50,37 - Leaf Blade,,,,,,,,
,Attack,110(+50),41 - Poison Tail,,,,,,,,
,Defense,45,45 - Toxic,,,,,,,,
,Special Attack,130(+30),50 - Spikes,,,,,,,,
,Special Defense,110(+30),60 - Petal Dance,,,,,,,,
,Speed,110(+45),70 - Frenzy Plant,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Gulpin,,Learnset,,Swalot,,Learnset,,,,
,,,1 - Pound,,,,1 - Pound,,,,
,,,1 - Yawn,,,,1 - Yawn,,,,
,,,1 - Poison Gas,,,,1 - Poison Gas,,,,
,,,1 - Sludge,,,,1 - Sludge,,,,
,,,6 - Yawn,,,,6 - Yawn,,,,
,POISON,,9 - Protect,,POISON,STEEL,9 - Protect,,,,
,Ability 1,Clear Body,14 - Sludge,,Ability 1,Clear Body,14 - Sludge,,,,
,Ability 2,Clear Body,20 - Flash Cannon,,Ability 2,Clear Body,20 - Flash Cannon,,,,
,Base Stats,,23 - Encore,,Base Stats,,23 - Encore,,,,
,HP,70,26 - Sludge Bomb,,HP,100,26 - Sludge Bomb,,,,
,Attack,43,31 - Toxic,,Attack,106(+33),31 - Toxic,,,,
,Defense,53,35 - Earthquake,,Defense,83,35 - Earthquake,,,,
,Special Attack,43,40 - Doom Desire,,Special Attack,73,40 - Doom Desire,,,,
,Special Defense,53,40 - Recover,,Special Defense,83,40 - Recover,,,,
,Speed,40,,,Speed,55,,,,,
,,,,,Evolves at level 20.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Carvanha,,Learnset,,Sharpedo,,Learnset,,,,
,,,1 - Protect,,,,1 - Protect,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Leer,,,,1 - Leer,,,,
,,,1 - Water Gun,,,,1 - Water Gun,,,,
,,,7 - Bite,,,,7 - Bite,,,,
,WATER,DARK,13 - Aqua Jet,,WATER,DARK,13 - Aqua Jet,,,,
,Ability 1,Speed Boost,21 - BubbleBeam,,Ability 1,Speed Boost,21 - BubbleBeam,,,,
,Ability 2,Speed Boost,28 - Ice Beam,,Ability 2,Speed Boost,28 - Ice Beam,,,,
,Base Stats,,33 - Crunch,,Base Stats,,33 - Crunch,,,,
,HP,55(+10),40 - Surf,,HP,70,40 - Surf,,,,
,Attack,55(-45),65 - Night Daze,,Attack,75(-45),65 - Night Daze,,,,
,Defense,50(+30),,,Defense,70(+30),,,,,
,Special Attack,100(+35),,,Special Attack,130(+35),,,,,
,Special Defense,50(+30),,,Special Defense,70(+30),,,,,
,Speed,75(+10),,,Speed,95,,,,,
,,,,,Evolves at level 48.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Wailmer,,Learnset,,Wailord,,Learnset,,,,
,,,1 - Water Spout,,,,1 - Water Spout,,,,
,,,8 - Aurora Beam,,,,8 - Aurora Beam,,,,
,,,15 - BubbleBeam,,,,15 - BubbleBeam,,,,
,,,22 - Swift,,,,22 - Swift,,,,
,,,29 - Recover,,,,29 - Recover,,,,
,WATER,NORMAL,33 - Ice Beam,,WATER,NORMAL,33 - Ice Beam,,,,
,Ability 1,Thick Fat,36 - Return,,Ability 1,Thick Fat,36 - Return,,,,
,Ability 2,Thick Fat,43 - Surf,,Ability 2,Thick Fat,43 - Surf,,,,
,Base Stats,,50 - Double-Edge,,Base Stats,,50 - Double-Edge,,,,
,HP,130,60 - Toxic,,HP,170,60 - Toxic,,,,
,Attack,70,70 - Hydro Cannon,,Attack,110(+20),70 - Hydro Cannon,,,,
,Defense,35,70 - Sky Attack,,Defense,80(+35),70 - Sky Attack,,,,
,Special Attack,70,,,Special Attack,110(+20),,,,,
,Special Defense,35,,,Special Defense,100(+55),,,,,
,Speed,60,,,Speed,10(-50),,,,,
,,,,,Evolves at level 30.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Numel,,Learnset,,Camerupt,,Learnset,,,,
,,,1 - Growl,,,,1 - Growl,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Accelerock,,,,1 - Accelerock,,,,
,,,11 - Ember,,,,11 - Ember,,,,
,,,19 - Mud Shot,,,,19 - Mud Shot,,,,
,FIRE,GROUND,25 - Rock Tomb,,FIRE,GROUND,25 - Rock Tomb,,,,
,Ability 1,Shell Armor,29 - Flame Wheel,,Ability 1,Shell Armor,29 - Flame Wheel,,,,
,Ability 2,Shell Armor,31 - Dig,,Ability 2,Shell Armor,31 - Dig,,,,
,Base Stats,,33 - Rock Slide,,Base Stats,,33 - Rock Slide,,,,
,HP,60,37 - Earthquake,,HP,90(+20),37 - Earthquake,,,,
,Attack,60,41 - Flamethrower,,Attack,110(+10),41 - Flamethrower,,,,
,Defense,40,45 - Eruption,,Defense,90(+20),45 - Eruption,,,,
,Special Attack,65,50 - Heat Wave,,Special Attack,110(+5),50 - Heat Wave,,,,
,Special Defense,45,60 - Overheat,,Special Defense,95(+20),60 - Overheat,,,,
,Speed,35,74 - Fissure,,Speed,20(-20),74 - Fissure,,,,
,,,74 - Blast Burn,,Evolves at level 33.,,74 - Blast Burn,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Spinda,,Learnset,,,,,,,,
,,,1 - Tackle,,,,,,,,
,,,5 - Uproar,,,,,,,,
,,,12 - Faint Attack,,,,,,,,
,,,16 - Psybeam,,,,,,,,
,,,20 - Fake Out,,,,,,,,
,NORMAL,PSYCHIC,23 - Hyper Voice,,,,,,,,
,Ability 1,Own Tempo,27 - Psychic,,,,,,,,
,Ability 2,Own Tempo,30 - Superpower,,,,,,,,
,Base Stats,,33 - Psycho Boost,,,,,,,,
,HP,90(+30),33 - Hyper Beam,,,,,,,,
,Attack,90(+30),36 - Flail,,,,,,,,
,Defense,90(+30),,,,,,,,,
,Special Attack,90(+30),,,,,,,,,
,Special Defense,90(+30),,,,,,,,,
,Speed,90(+30),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Torkoal,,Learnset,,,,,,,,
,,,1 - Ember,,,,,,,,
,,,4 - Smog,,,,,,,,
,,,7 - Rock Tomb,,,,,,,,
,,,17 - Flame Wheel,,,,,,,,
,,,20 - Rock Slide,,,,,,,,
,FIRE,,27 - Protect,,,,,,,,
,Ability 1,Shell Armor,30 - Flamethrower,,,,,,,,
,Ability 2,Shell Armor,36 - Earthquake,,,,,,,,
,Base Stats,,43 - Recover,,,,,,,,
,HP,70,46 - Recover,,,,,,,,
,Attack,100(+15),74 - Overheat,,,,,,,,
,Defense,140,74 - Blast Burn,,,,,,,,
,Special Attack,100(+15),,,,,,,,,
,Special Defense,70,,,,,,,,,
,Speed,20,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Spoink,,Learnset,,Grumpig,,Learnset,,,,
,,,1 - Splash,,,,1 - Splash,,,,
,,,7 - Psywave,,,,7 - Psywave,,,,
,,,7 - Confusion,,,,7 - Confusion,,,,
,,,10 - Faint Attack,,,,10 - Faint Attack,,,,
,,,16 - Psybeam,,,,16 - Psybeam,,,,
,PSYCHIC,DARK,19 - Fake Out,,PSYCHIC,DARK,19 - Fake Out,,,,
,Ability 1,Thick Fat,25 - Knock Off,,Ability 1,Thick Fat,25 - Knock Off,,,,
,Ability 2,Thick Fat,28 - Sucker Punch,,Ability 2,Thick Fat,28 - Sucker Punch,,,,
,Base Stats,,33 - Fire Punch,,Base Stats,,33 - Fire Punch,,,,
,HP,70(+10),37 - Psychic,,HP,100(+20),37 - Psychic,,,,
,Attack,25,43 - Crunch,,Attack,40,43 - Crunch,,,,
,Defense,50(+15),47 - Rest,,Defense,65,47 - Rest,,,,
,Special Attack,80(+10),50 - Mist Ball,,Special Attack,110(+20),50 - Mist Ball,,,,
,Special Defense,100(+20),55 - Night Daze,,Special Defense,120(+10),55 - Night Daze,,,,
,Speed,60,60 - Psycho Boost,,Speed,80,60 - Psycho Boost,,,,
,,,,,Evolves at level 25.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Trapinch,,Learnset,,Vibrava,,Learnset,,Flygon,,Learnset
,,,1 - Bite,,,,1 - Bite,,,,1 - Bite
,,,1 - Sand Attack,,,,1 - Sand Attack,,,,1 - Sand Attack
,,,1 - Faint Attack,,,,1 - Faint Attack,,,,1 - Faint Attack
,,,1 - Mud Shot,,,,1 - Mud Shot,,,,1 - Mud Shot
,,,9 - Rock Tomb,,,,9 - Rock Tomb,,,,9 - Rock Tomb
,GROUND,,17 - Faint Attack,,GROUND,DRAGON,17 - Faint Attack,,GROUND,DRAGON,17 - Faint Attack
,Ability 1,Arena Trap,20 - Dig,,Ability 1,Levitate,20 - Dig,,Ability 1,Levitate,20 - Dig
,Ability 2,Arena Trap,25 - Rock Slide,,Ability 2,Levitate,25 - Rock Slide,,Ability 2,Levitate,25 - Rock Slide
,Base Stats,,30 - Dragon Claw,,Base Stats,,30 - Dragon Claw,,Base Stats,,30 - Dragon Claw
,HP,45,33 - Crunch,,HP,50,33 - Crunch,,HP,80,33 - Crunch
,Attack,100,35 - Earthquake,,Attack,70,35 - Earthquake,,Attack,115(+15),35 - Earthquake
,Defense,45,46 - Signal Beam,,Defense,50,46 - Signal Beam,,Defense,80,46 - Signal Beam
,Special Attack,45,50 - Heat Wave,,Special Attack,50,50 - Heat Wave,,Special Attack,115(+35),50 - Heat Wave
,Special Defense,45,70 - Fissure,,Special Defense,50,70 - Fissure,,Special Defense,80,70 - Fissure
,Speed,10,70 - Outrage,,Speed,70,70 - Outrage,,Speed,130(+30),70 - Outrage
,,,,,Evolves at level 35.,,,,Evolves at level 55.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Cacnea,,Learnset,,Cacturne,,Learnset,,,,
,,,1 - Absorb,,,,1 - Absorb,,,,
,,,3 - Harden,,,,3 - Harden,,,,
,,,7 - Knock Off,,,,7 - Knock Off,,,,
,,,13 - Faint Attack,,,,13 - Faint Attack,,,,
,,,16 - Giga Drain,,,,16 - Giga Drain,,,,
,GRASS,DARK,19 - Magical Leaf,,GRASS,DARK,19 - Magical Leaf,,,,
,Ability 1,Water Absorb,25 - Sucker Punch,,Ability 1,Water Absorb,25 - Sucker Punch,,,,
,Ability 2,Water Absorb,31 - Crunch,,Ability 2,Water Absorb,31 - Crunch,,,,
,Base Stats,,36 - Leaf Blade,,Base Stats,,36 - Leaf Blade,,,,
,HP,50,40 - Needle Arm,,HP,85(+15),40 - Needle Arm,,,,
,Attack,55(-30),50 - Heat Wave,,Attack,55(-60),50 - Heat Wave,,,,
,Defense,40,55 - Night Daze,,Defense,80(+20),55 - Night Daze,,,,
,Special Attack,85,60 - Frenzy Plant,,Special Attack,115,60 - Frenzy Plant,,,,
,Special Defense,40,,,Special Defense,80(+20),,,,,
,Speed,75(+40),,,Speed,95(+40),,,,,
,,,,,Evolves at level 32.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Swablu,,Learnset,,Altaria,,Learnset,,,,
,,,1 - Peck,,,,1 - Peck,,,,
,,,1 - Leer,,,,1 - Leer,,,,
,,,1 - Twister,,,,1 - Twister,,,,
,,,8 - Wing Attack,,,,8 - Wing Attack,,,,
,,,15 - Twister,,,,15 - Twister,,,,
,NORMAL,FLYING,22 - Dragon Breath,,DRAGON,FLYING,22 - Dragon Breath,,,,
,Ability 1,Natural Cure,29 - Dragon Claw,,Ability 1,Thick Fat,29 - Dragon Claw,,,,
,Ability 2,Natural Cure,35 - Aerial Ace,,Ability 2,Thick Fat,35 - Aerial Ace,,,,
,Base Stats,,40 - Recover,,Base Stats,,40 - Recover,,,,
,HP,65(+20),45 - Will-O-Wisp,,HP,100(+25),45 - Will-O-Wisp,,,,
,Attack,80(+40),50 - Aeroblast,,Attack,90(+20),50 - Aeroblast,,,,
,Defense,60,55 - Earthquake,,Defense,100(+10),55 - Earthquake,,,,
,Special Attack,60(+20),60 - Outrage,,Special Attack,90(+20),60 - Outrage,,,,
,Special Defense,75,60 - Sky Attack,,Special Defense,110(+5),60 - Sky Attack,,,,
,Speed,80(+30),60 - Overheat,,Speed,80,60 - Overheat,,,,
,,,,,Evolves at level 35.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Zangoose,,Learnset,,,,,,,,
,,,1 - Reversal,,,,,,,,
,,,1 - Mach Punch,,,,,,,,
,,,1 - Quick Attack,,,,,,,,
,,,10 - Karate Chop,,,,,,,,
,,,15 - Brick Break,,,,,,,,
,NORMAL,FIGHTING,20 - Swift,,,,,,,,
,Ability 1,Guts,26 - Submission,,,,,,,,
,Ability 2,Guts,30 - Detect,,,,,,,,
,Base Stats,,36 - Shadow Ball,,,,,,,,
,HP,75(+2),44 - Crush Claw,,,,,,,,
,Attack,125(+10),50 - Vital Throw,,,,,,,,
,Defense,70(+10),56 - Cross Chop,,,,,,,,
,Special Attack,60,74 - Superpower,,,,,,,,
,Special Defense,70(+10),74 - Hyper Beam,,,,,,,,
,Speed,100(+10),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Seviper,,Learnset,,,,,,,,
,,,1 - Wrap,,,,,,,,
,,,7 - Lick,,,,,,,,
,,,10 - Bite,,,,,,,,
,,,16 - Rock Smash,,,,,,,,
,,,19 - Sludge,,,,,,,,
,POISON,FIGHTING,22 - Shadow Ball,,,,,,,,
,Ability 1,Intimidate,25 - Brick Break,,,,,,,,
,Ability 2,Intimidate,28 - Sludge Bomb,,,,,,,,
,Base Stats,,34 - Poison Fang,,,,,,,,
,HP,75(+2),42 - Submission,,,,,,,,
,Attack,120(+20),50 - Earthquake,,,,,,,,
,Defense,60,60 - Superpower,,,,,,,,
,Special Attack,80(-20),,,,,,,,,
,Special Defense,60,,,,,,,,,
,Speed,115(+50),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Lunatone,,Learnset,,,,,,,,
,,,1 - Leer,,,,,,,,
,,,1 - Scratch,,,,,,,,
,,,5 - Astonish,,,,,,,,
,,,13 - Astonish,,,,,,,,
,,,17 - Rock Tomb,,,,,,,,
,ROCK,GHOST,25 - Protect,,,,,,,,
,Ability 1,Levitate,35 - Rock Slide,,,,,,,,
,Ability 2,Levitate,41 - Shadow Ball,,,,,,,,
,Base Stats,,45 - Recover,,,,,,,,
,HP,100(+10),50 - Earthquake,,,,,,,,
,Attack,120(+65,,,,,,,,,
,Defense,85(+20),,,,,,,,,
,Special Attack,70(-25),,,,,,,,,
,Special Defense,105(+20),,,,,,,,,
,Speed,70,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Solrock,,Learnset,,,,,,,,
,,,1 - Leer,,,,,,,,
,,,1 - Scratch,,,,,,,,
,,,5 - Ember,,,,,,,,
,,,9 - Night Shade,,,,,,,,
,,,13 - Flame Wheel,,,,,,,,
,ROCK,FIRE,17 - Rock Tomb,,,,,,,,
,Ability 1,Levitate,25 - Protect,,,,,,,,
,Ability 2,Levitate,35 - Rock Slide,,,,,,,,
,Base Stats,,39 - Flamethrower,,,,,,,,
,HP,70(+20),47 - Strength,,,,,,,,
,Attack,125(+30),47 - Thunderbolt,,,,,,,,
,Defense,65(-20),50 - Earthquake,,,,,,,,
,Special Attack,125(+70),60 - Overheat,,,,,,,,
,Special Defense,65,70 - Head Smash,,,,,,,,
,Speed,90(+20),70 - Blast Burn,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Barboach,,Learnset,,Whiscash,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Recover,,,,1 - Recover,,,,
,,,1 - Growl,,,,1 - Growl,,,,
,,,1 - Mud Slap,,,,1 - Mud Slap,,,,
,,,10 - BubbleBeam,,,,10 - BubbleBeam,,,,
,GROUND,WATER,16 - Mud Shot,,GROUND,WATER,16 - Mud Shot,,,,
,Ability 1,Cloud Nine,20 - Rock Slide,,Ability 1,Cloud Nine,20 - Rock Slide,,,,
,Ability 2,Cloud Nine,25 - Dig,,Ability 2,Cloud Nine,25 - Dig,,,,
,Base Stats,,31 - Ice Beam,,Base Stats,,31 - Ice Beam,,,,
,HP,50,36 - Muddy Water,,HP,110,36 - Muddy Water,,,,
,Attack,48,44 - Thunderbolt,,Attack,98(+20),44 - Thunderbolt,,,,
,Defense,43,52 - Earthquake,,Defense,93(+20),52 - Earthquake,,,,
,Special Attack,46,60 - Fissure,,Special Attack,96(+20),60 - Fissure,,,,
,Special Defense,41,60 - Hydro Cannon,,Special Defense,91(+20),60 - Hydro Cannon,,,,
,Speed,60,,,Speed,20(-40),,,,,
,,,,,Evolves at level 30.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Baltoy,,Learnset,,Claydol,,Learnset,,,,
,,,1 - Teleport,,,,1 - Teleport,,,,
,,,1 - Confusion,,,,1 - Confusion,,,,
,,,1 - Rapid Spin,,,,1 - Rapid Spin,,,,
,,,5 - Mud Shot,,,,5 - Mud Shot,,,,
,,,11 - Psybeam,,,,11 - Psybeam,,,,
,GROUND,PSYCHIC,15 - Rock Tomb,,GROUND,PSYCHIC,15 - Rock Tomb,,,,
,Ability 1,Levitate,25 - Spikes,,Ability 1,Levitate,25 - Spikes,,,,
,Ability 2,Levitate,31 - Dig,,Ability 2,Levitate,31 - Dig,,,,
,Base Stats,,36 - Psychic,,Base Stats,,36 - Psychic,,,,
,HP,40,42 - Earthquake,,HP,80(+20),42 - Earthquake,,,,
,Attack,40,46 - Recover,,Attack,90(+20),46 - Recover,,,,
,Defense,55,50 - Protect,,Defense,105,50 - Protect,,,,
,Special Attack,40,60 - Fissure,,Special Attack,90(+20),60 - Fissure,,,,
,Special Defense,70,60 - Psycho Boost,,Special Defense,120,60 - Psycho Boost,,,,
,Speed,55,,,Speed,85(+10),,,,,
,,,,,Evolves at level 36.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Corphish,,Learnset,,Crawdaunt,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Leer,,,,1 - Leer,,,,
,,,1 - Knock Off,,,,1 - Knock Off,,,,
,,,1 - Water Gun,,,,1 - Water Gun,,,,
,,,7 - Bite,,,,7 - Bite,,,,
,WATER,,13 - Aqua Jet,,WATER,DARK,13 - Aqua Jet,,,,
,Ability 1,Shell Armor,21 - BubbleBeam,,Ability 1,Shell Armor,21 - BubbleBeam,,,,
,Ability 2,Shell Armor,28 - Sucker Punch,,Ability 2,Shell Armor,28 - Sucker Punch,,,,
,Base Stats,,33 - Crunch,,Base Stats,,33 - Crunch,,,,
,HP,43,40 - Crabhammer,,HP,83(+20),40 - Crabhammer,,,,
,Attack,50(-30),45 - Protect,,Attack,50(-70),45 - Protect,,,,
,Defense,65,60 - Hydro Cannon,,Defense,105(+20),60 - Hydro Cannon,,,,
,Special Attack,80(+30),70 - Night Daze,,Special Attack,130(+40),70 - Night Daze,,,,
,Special Defense,35,,,Special Defense,75(+20),,,,,
,Speed,35,,,Speed,55,,,,,
,,,,,Evolves at level 30.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Lileep,,Learnset,,Cradily,,Learnset,,,,
,,,1 - Absorb,,,,1 - Absorb,,,,
,,,8 - Rock Tomb,,,,8 - Rock Tomb,,,,
